,lat,lon,ref,name,description,gbfs:name,gbfs:station_id,capacity,amenity,brand,brand:ja,brand:wikidata,brand:website,gbfs:system_id,authentication:app,fee,lat_label,lon_label
520,35.166151,136.891872,173,天王崎橋上流右岸広場ステーション,,173.天王崎橋上流右岸広場ステーション,725,2,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
521,35.733292,139.630369,N1-07,プランドール上鷺宮,,N1-07.プランドール上鷺宮,726,7,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
522,35.705686,139.642587,O5-02,馬橋ハイツ,,O5-02.馬橋ハイツ,727,6,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
523,35.714616,139.625116,O3-06,アミーズ荻窪,,O3-06.アミーズ荻窪,728,4,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
524,35.697265,139.649397,O5-03,新高円寺地下自転車駐輪場,,O5-03.新高円寺地下自転車駐輪場,729,15,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
525,35.701318,139.825916,H1-165,亀戸梅屋敷,,H1-165.亀戸梅屋敷,730,6,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
526,35.696574,139.82972,H1-166,亀戸クロック,,H1-166.亀戸クロック,731,17,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,2
527,33.223,131.65218,98,あけのアクロスタウン,,98.あけのアクロスタウン,733,10,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,0
528,35.146061,136.897211,174,ファミリーマート金山正木橋店,,174.ファミリーマート金山正木橋店,734,5,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,0,1
529,35.714044,139.61688,O3-07,NTT井草ビル第1ポート,,O3-07.NTT井草ビル第1ポート,736,3,bicycle_rental,Docomo Bike Share,ドコモ・バイクシェア,Q55533296,https://docomo-cycle.jp/,docomo-cycle,yes,yes,2,1
